"Lectin"	"SA1"	"SA10"	"SA11"	"SA12"	"SA13"	"SA14"	"SA15"	"SA16"	"SA17"	"SA18"	"SA19"	"SA2"	"SA3"	"SA4"	"SA5"	"SA6"	"SA7"	"SA8"	"SA9"
"CCA"	-0.0710094895571984	0.28381422438944	-0.248453940200699	-0.874376516620194	-0.455079709586563	-0.62791692293994	-0.495286383519703	-0.912220226567096	-0.394502815505895	-0.765908378413145	-0.782532587571198	-0.332847475416726	0.0803314910455857	-0.259959793543223	-0.166462691691926	-0.24966486260052	0.18946847481797	0.359631239609357	-0.00146560892700975
"Cholera Toxin (fridge)"	0.105254681645953	0.236538597465703	0.0927861148397184	-0.295327352058855	-0.157402033737666	-0.555915462966365	-0.403863913027903	-0.686333119883333	-0.417822639126211	-0.548377673737955	-0.938595466628813	0.242384155041316	-0.0305556179461188	-0.14499816697812	0.251941456480145	0.604324469505869	0.0401497109684854	0.388459764805697	0.230909464990569
"Con A new"	-0.321891186969005	-0.310876951998335	0.00402387381486768	-0.0608926955389411	0.245795670656856	0.00426447957445042	-0.103413755135666	-0.0786550840054634	-0.0761184245894881	-0.19823090225726	-0.138518269123454	-0.555245810182193	-0.34665365277646	-0.447700810949279	-0.516921403598706	-0.264608840191956	-0.448749405593585	-0.202667664163821	-0.147497101270213
"CSA"	-0.399781882584628	-0.179046059349258	-0.576751154651022	-0.653725955039201	-0.465965458089409	-0.673641328276364	-0.17753300706036	-0.344080338925849	-0.375196106770455	-0.522388170453676	-0.557032403557908	-0.191251413842343	-0.258674464972316	-0.411807076427912	-0.498140104099544	-0.365450711184151	-0.0273327661167873	-0.137163071125654	-0.0537574901368938
"CVN "	0.0985542322983655	0.099325337926885	0.557858663818127	-0.330180689992822	0.266078751980411	-0.208252722904936	-0.34616398857662	-0.210152359789033	-0.387205890755309	-0.347824473485527	-0.594434635268808	0.0315166679897807	0.0474699955422206	-0.0644768441430958	0.295448697029389	0.150230096014473	-0.0833710617124002	0.235403113893247	0.213326957301836
"DBA"	0.680903498455223	0.82050205491392	0.483416857227125	0.255651331859131	0.216300002646008	0.0862681660009965	0.346984149867918	0.126674338811982	0.40638083557794	0.230036586579436	0.152249734932488	0.395381394114636	0.619512559838796	0.50125138616213	0.694099821165556	0.938731949007858	0.772988963758758	0.853752761535103	0.773679246535975
"DC-SIGN"	0.466674944854629	0.711110986793852	0.964767710606957	0.744324686177054	0.506927490700534	0.170368667799821	0.562877301499727	0.0863467638446469	0.707511977019706	0.573697037463365	0.337869173026668	0.507868470628257	0.407827201369733	0.722270731842636	0.583122761800702	1.15311777926823	0.826118967663319	0.422559392593145	0.484949134805774
"DSA"	0.484635703411422	0.0838376811653809	-6.22994312556866	0.338894514595202	0.785928389917231	-0.471517508432297	0.599247100786505	-4.91464376909902	-3.55396304304596	0.532172974857717	1.16339529539966	0.418538207541307	0.551808404596903	0.301442874632032	0.258598322221516	0.622064404994445	0.922715412058928	-0.35794961135313	4.62526075489394
"DSA (fridge) 1"	0.396749722444246	0.0838376811653809	-0.171049436515093	0.338894514595202	5.8448220789708	-0.66055132595053	0.565299772218271	-4.44515847470015	0.282538224671164	0.532172974857717	0.511318565094632	0.251928659476865	-0.155022848882552	0.228658605458877	0.4497782914982	0.3683448583844	0.922715412058928	-0.35794961135313	-3.34052352976815
"DSA (fridge) 2"	0.68156634565975	0.360458906457824	0.883500276631942	0.409253186247792	0.528742523250111	0.581508947904132	0.495568454684836	0.190707317226597	0.460198874945966	0.35185752790666	0.258879274429662	0.516197405637463	0.412566218248729	0.534780582150942	0.648711669323658	0.605880736052763	0.733531419317591	0.763635666011547	0.577679469984377
"ECA"	-0.205345770747154	-0.74853643351061	-0.06629938167716	0.111116887151924	-0.00226102317424548	-0.0480295528188162	0.0326811568356593	-0.151528374143487	0.235630513989033	-0.270966317153905	-0.344939616992141	-0.558293178855942	-0.407328967708848	-0.35418272525842	-0.347191268905767	-0.460753863767481	0.0565244522795041	-0.474996608838497	-0.452528750309234
"EEA"	0.89587188892212	1.21595634699417	0.827785455380491	0.362378469553192	0.416325790418275	0.0803784471973987	-0.110702491545291	0.0269105706826611	0.298096671257348	-0.00605819847709377	-0.185706017782822	0.8359479326827	0.86128077048911	0.799318874682228	0.918885568363425	1.13668709025972	1.06722326528558	1.10500939912336	0.781045147099604
"EEL "	-0.0103184036393884	0.00960794544453236	-0.142848977149587	-0.556911603087148	-0.386290742199167	-0.628943888749513	-0.61808284133887	-0.556558244514182	-0.201803461417073	-0.580290104662851	-0.608399618016335	-0.622558314959624	0.113252525614369	-0.271054224466925	-0.166060732678506	0.108275643376736	0.155000254909293	-0.0136187505875434	0.0522114603224768
"GHA"	-0.271145151740592	-0.175954712057402	-0.195475479005985	0.0024787363545169	0.103066126149717	0.0256029224133822	0.133954830727964	0.0437494727434533	0.218675742356526	0.282685100996703	0.334965610233834	0.692247021104224	0.185203618453817	-0.235974208630548	-0.225429477689725	-0.0618301202472633	-0.00109109799065621	0.0525810873049135	-0.129381620254939
"GNA"	-0.366211080254905	0.0838376811653809	-0.171049436515093	-5.88992421196806	0.785928389917231	0.602483076997874	0.599247100786505	-0.386264785646578	0.282538224671164	0.532172974857717	-3.81060952979273	-1.61588655683375	0.694477187493959	-0.296172006213034	-4.47938864908919	1.18839650928591	0.922715412058928	-0.35794961135313	0.303332660006578
"GNA (Vector)"	-0.227457026197644	-0.0589598849350672	-0.23046939661385	-0.901765164389463	-0.64374886339643	-0.867900890220312	-0.725442427368352	-0.893410165514471	-0.865457672854291	-1.09914382204737	-1.25344110938551	-0.471261569609458	-0.21299443714878	-0.471364727016828	-0.224565739101639	-0.196102932582162	-0.125246781902993	0.141317723695247	-0.194260325306676
"GRFT new"	-0.107747671186736	-0.136961268281087	0.986487989402601	0.48908774623437	0.915966656352131	1.24458813633371	0.051061576089511	0.302524572755589	0.315497038483253	0.0824585907493045	-0.279638098747373	-0.0118435472420995	-0.212824508920228	-0.431540917447913	0.240986702294361	0.142403592718932	-0.0437404915449751	-0.584637009738982	-0.0776621046812274
"GS-I"	0.979964562101758	1.80486173304794	2.38534391200929	2.10828158809321	-3.05057287779989	0.602483076997874	7.24310329056123	-0.748834885641216	3.2259546963048	2.83025433015579	0.511318565094632	0.742567414078722	0.694477187493959	-0.296172006213034	1.16446754068554	-2.79249467535952	2.69210248555694	3.54894097704191	5.1398339277237
"GS-I_EY"	0.0643407858212708	0.240428044106082	-0.0281773548221711	0.267314352925181	0.16689099246832	5.2463392667726	0.599247100786505	0.294579859851293	0.282538224671164	0.532172974857717	-0.711073856241816	-0.0443767515335658	0.250796008283279	-0.0672577639859604	-0.133213007909012	-0.00839215516587721	0.191981771604237	0.314269232974089	0.0103996482494892
"GS-I_V"	0.642104187873706	0.0838376811653809	0.441424627692943	0.0618747772080024	0.171632395081941	0.0877690226198879	0.208975394942067	-0.00279963069107936	0.146869515207383	-0.0133785410117095	0.180970047231968	1.00475566803527	0.67162490517012	0.392163016540058	0.569222066702521	0.818649767318124	0.0871136297944766	-0.158550754510957	0.0431261446616009
"GS-II"	0.149722861404918	0.113304590106049	0.413913064206064	0.338894514595202	-3.63553536821608	0.602483076997874	-4.04460908898822	-0.386264785646578	-0.0604695883350264	0.532172974857717	0.511318565094632	-0.295077008736925	0.433784819519948	-0.00258214338430385	0.0741605188295065	0.184422922220644	0.0275769572074651	-0.00494799531123746	0.107542139159531
"HAA"	1.42496341275158	1.5754520985234	1.43132397605003	0.0468649374965899	0.0585038001898415	0.249751484893588	0.553945177531496	-0.107812307952411	0.27145117646071	0.377415508219453	-0.15417755221562	4.66144734359607	0.995145023779518	1.41269305250874	3.64765241686308	3.52804377057483	0.972509337073451	1.2367045187866	1.62397466986521
"HHL"	-0.30062927813967	-0.269011357352927	0.735389154776088	-0.334478086797478	0.17243205343703	0.263833281278446	-0.558280639254784	-0.462291221065071	-0.408565005428537	-0.682639221284544	-0.879535566174617	-0.260289710061004	-0.484288301463652	-0.323518712531763	-0.201756301104375	-0.260300988915089	-0.140644828676532	-0.645226630541856	-0.267465652157549
"HPA_EY"	0.0476276702793887	-0.736370903103913	-0.294624121633625	-0.860324793086266	-0.0514771058222587	-0.510134486568504	-0.362873015982252	-0.151799532039159	-0.403927887774767	-0.123820765065519	-0.0588034443156236	-0.0729277161799118	0.089336804835173	0.243410591004113	1.80670484627402	0.365524197461353	-0.865646794147638	-0.577118131847062	-0.568528391268909
"HPA_Sigma"	1.01901648408587	-0.0423761335012074	1.21133519585609	1.65144681667343	1.50926464357442	2.89801803074248	1.06115120523756	2.41040565599802	1.79056261167198	0.988473517157384	1.36024549921609	2.24484753562439	0.657789764518238	0.247816436113375	1.37733664139668	0.888179412062277	0.366397698379206	-0.348927098888682	0.83112145236136
"IAA"	0.65186127170368	0.924837920880046	0.711196001328897	0.621900528097662	0.570398077061942	0.289805529695366	0.617938148179139	0.171684266326691	0.53093275689556	0.298140355680948	-0.595456986570248	0.425022489555266	0.563424192816667	0.649147011574971	0.955832251279482	0.942140751403695	0.943025524803511	0.906673536452644	0.859203740798424
"IRA new"	0.527840507649577	0.557737557293095	0.445181038100694	0.318567251140227	0.289532491905744	0.199865425997595	0.333057647963953	0.274095009322801	0.394478919164259	0.173923793122087	0.231522757679127	0.69015820355904	0.404113608583945	0.207470049813212	0.502817517437464	0.482355488314603	0.582256034240785	0.690761803120102	0.511651981708386
"Jacalin, AIA"	-0.0332938797588014	-0.20980550844822	-0.144815089005316	-0.187700204301848	-0.20629006452889	-0.201005568490615	-0.102570254827755	-0.182742714541531	-0.451154095167707	-0.47400816177456	-0.462671347658924	1.45462690431736	-0.274939131146059	-0.390567989542207	0.147639143902955	-0.238490104728077	-0.0779037704025107	-0.189823962507873	-0.146632421771999
