ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2014/03/28 12:10:34"
"Settings=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_setting.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=532	635"
"ImageFiles=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 2	C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 3"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=715, 1395"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4300 [122871]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=425	570"
"ScanPower=70	90"
"LaserPower=2.11	1.69"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,4400,14400"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"F532 CV"	"F635 CV"	"B532 CV"	"B635 CV"	"Index"
1	4	3	""	""	1835	2250	150	2394	2255	682	468	473	468	98	95	93	0	3244	3028	1008	112	125	112	144	96	94	0	0.615	0.613	0.614	0.611	1.358	0.617	0.927	716	4964	100	0	0	0	5058	4703	-0.701	1926	3132	1787	2916	1614624	2168250	18.184	20.160	30	33	20	115	34
1	5	3	""	""	2110	2250	150	2525	2496	395	459	463	459	76	100	100	0	3407	3398	816	107	118	107	80	100	100	0	0.626	0.619	0.619	0.620	1.207	0.605	0.945	716	5013	100	0	0	0	5366	5328	-0.676	2066	3300	2037	3291	1786799	2433071	26.750	41.000	15	24	16	67	35
1	6	3	""	""	2380	2250	150	2378	2290	520	478	626	478	470	95	92	0	3054	2944	988	111	145	111	130	99	98	0	0.646	0.640	0.652	0.655	1.367	0.611	0.895	716	5055	100	0	0	0	4843	4645	-0.631	1900	2943	1812	2833	1639433	2108023	3.540	21.531	22	33	75	89	36
1	7	3	""	""	2655	2245	145	2445	2932	2088	834	1173	834	779	99	56	0	1314	1544	1324	184	257	184	217	95	85	0	1.426	1.543	1.514	1.726	1.762	1.649	0.755	624	4809	100	0	0	0	2741	3458	0.512	1611	1130	2098	1360	1829336	963702	2.258	5.931	71	85	66	84	37
1	8	3	""	""	2935	2250	140	2406	2730	1577	1406	1409	1406	814	69	13	0	1316	1441	945	265	302	265	216	90	86	0	0.951	1.126	1.028	1.124	1.964	1.734	0.610	624	4595	100	0	0	0	2051	2500	-0.072	1000	1051	1324	1176	1703357	898934	1.623	5.273	57	65	57	71	38
1	9	3	""	""	3200	2250	135	2441	2777	1872	1153	1378	1153	894	89	14	0	1305	1472	1095	222	289	222	251	94	90	0	1.189	1.299	1.219	1.378	1.863	1.760	0.648	540	4232	100	0	0	0	2371	2874	0.250	1288	1083	1624	1250	1499418	794982	1.565	4.713	67	74	64	86	39
1	10	3	""	""	3460	2245	130	3248	3171	826	449	685	449	820	94	93	0	3152	3348	1599	122	222	122	1392	95	64	0	0.924	0.844	0.890	0.865	1.414	0.515	0.659	540	4063	100	0	0	0	5829	5948	-0.114	2799	3030	2722	3226	1712495	1808092	3.032	2.246	26	47	119	627	40
1	11	3	""	""	3730	2245	130	3206	3172	928	417	466	417	798	94	92	0	3408	3631	1520	127	203	127	1138	95	92	0	0.850	0.786	0.831	0.778	1.470	0.739	0.874	540	4084	100	0	0	0	6070	6259	-0.234	2789	3281	2755	3504	1712715	1960994	3.391	3.012	29	41	171	560	41
1	12	3	""	""	4000	2250	130	3142	3115	1048	428	485	428	705	93	91	0	3417	3499	1456	149	249	149	1031	94	91	0	0.830	0.802	0.838	0.798	1.566	0.756	0.908	540	4042	100	0	0	0	5982	6037	-0.268	2714	3268	2687	3350	1681963	1889619	3.730	3.152	33	41	145	414	42
1	13	3	""	""	4255	2265	130	9349	8574	2957	475	628	475	521	94	92	0	15697	14461	5513	181	276	181	705	96	94	0	0.572	0.567	0.575	0.560	1.422	0.556	0.956	540	3979	100	0	0	0	24390	22379	-0.806	8874	15516	8099	14280	4629898	7808875	15.251	20.121	34	38	82	255	43
1	14	3	""	""	4525	2260	130	9271	8634	3323	495	679	495	450	92	91	0	14471	13919	6092	204	252	204	217	96	94	0	0.615	0.593	0.602	0.577	1.387	0.573	0.934	540	4023	100	0	0	0	23043	21854	-0.701	8776	14267	8139	13715	4662460	7516201	17.678	62.982	38	43	66	86	44
1	15	3	""	""	4795	2265	130	8020	7546	3058	506	641	506	387	94	93	0	13190	12677	5160	234	272	234	188	97	96	0	0.580	0.566	0.575	0.566	1.551	0.559	0.925	540	4012	100	0	0	0	20470	19483	-0.786	7514	12956	7040	12443	4074796	6845433	17.842	65.984	40	40	60	69	45
1	1	4	""	""	1030	2515	145	4505	4173	1481	476	485	476	105	95	95	0	7238	6877	2688	118	133	118	110	97	96	0	0.566	0.547	0.550	0.540	1.385	0.542	0.952	624	4828	100	0	0	0	11149	10456	-0.821	4029	7120	3697	6759	2603817	4291198	35.124	61.309	35	39	21	82	46
1	2	4	""	""	1305	2520	145	4298	3977	1335	474	481	474	99	97	96	0	6905	6413	2725	115	134	115	148	99	98	0	0.563	0.556	0.563	0.555	1.388	0.537	0.949	624	4750	100	0	0	0	10614	9801	-0.828	3824	6790	3503	6298	2481568	4001955	35.313	42.426	33	42	20	110	47
1	3	4	""	""	1575	2520	140	4340	4086	1267	462	473	462	136	98	97	0	6891	6575	2650	112	143	112	328	98	96	0	0.572	0.561	0.574	0.568	1.382	0.534	0.940	624	4539	100	0	0	0	10657	10087	-0.806	3878	6779	3624	6463	2549810	4102745	26.566	19.610	31	40	28	229	48
